market,category,market_avg_price,overall_avg_price
Visakhapatnam,pulses and nuts,106.27000000000001,91.82388331176222
Dantewada,pulses and nuts,105.41654320987656,91.82388331176222
Tirunelveli,pulses and nuts,104.84423076923073,91.82388331176222
Belagavi,pulses and nuts,104.6162626262626,91.82388331176222
Bhuj,pulses and nuts,104.315,91.82388331176222
Bellary,pulses and nuts,104.2317948717949,91.82388331176222
Morena,pulses and nuts,104.21943661971834,91.82388331176222
T.Puram,pulses and nuts,104.1929491525424,91.82388331176222
Dharmapuri,pulses and nuts,104.01619047619049,91.82388331176222
Purulia,pulses and nuts,103.7957272727273,91.82388331176222
Nashik,pulses and nuts,103.77960784313726,91.82388331176222
Mangalore,pulses and nuts,103.64909090909089,91.82388331176222
Dhanbad,pulses and nuts,103.4848275862069,91.82388331176222
Jhabua,pulses and nuts,103.31851485148519,91.82388331176222
Jadcherla,pulses and nuts,103.08168224299064,91.82388331176222
Kalaburagi,pulses and nuts,102.9556842105263,91.82388331176222
Haridwar,pulses and nuts,102.61337209302327,91.82388331176222
Rudrapur,pulses and nuts,102.189243697479,91.82388331176222
Moradabad,pulses and nuts,102.18849999999999,91.82388331176222
Saharanpur,pulses and nuts,101.99600000000001,91.82388331176222
Balasore,pulses and nuts,101.97611570247932,91.82388331176222
Sahibganj,pulses and nuts,101.94644444444445,91.82388331176222
Thiruchirapalli,pulses and nuts,101.6505555555556,91.82388331176222
Kozhikode,pulses and nuts,101.55283950617289,91.82388331176222
Dharamshala,pulses and nuts,101.53055555555551,91.82388331176222
Karimnagar,pulses and nuts,101.49466019417478,91.82388331176222
Allahabad,pulses and nuts,101.04777777777777,91.82388331176222
Katihar,pulses and nuts,101.04500000000003,91.82388331176222
Solan,pulses and nuts,100.80218487394956,91.82388331176222
Selamba,pulses and nuts,100.78733333333338,91.82388331176222
Munger,pulses and nuts,100.66752577319589,91.82388331176222
Panaji,pulses and nuts,100.61015479876167,91.82388331176222
Warangal,pulses and nuts,100.54067961165049,91.82388331176222
Bihar_Gaya,pulses and nuts,100.3698837209302,91.82388331176222
Chamba,pulses and nuts,100.18309523809525,91.82388331176222
Ujjain,pulses and nuts,100.05736842105262,91.82388331176222
Muzzafarpur,pulses and nuts,99.75086206896555,91.82388331176222
Una,pulses and nuts,99.62936170212764,91.82388331176222
Gorakhpur,pulses and nuts,99.00882978723403,91.82388331176222
Nawada,pulses and nuts,98.96928571428569,91.82388331176222
Bengaluru,pulses and nuts,98.83367647058827,91.82388331176222
Suryapet,pulses and nuts,98.49605263157895,91.82388331176222
Bilaspur-hp,pulses and nuts,98.48839999999997,91.82388331176222
Samastipur,pulses and nuts,98.25580645161286,91.82388331176222
Ambikapur,pulses and nuts,98.18214285714288,91.82388331176222
Waghai,pulses and nuts,97.77380952380955,91.82388331176222
Saran,pulses and nuts,97.73115789473684,91.82388331176222
Adilabad,pulses and nuts,97.51951456310678,91.82388331176222
Ernakulam,pulses and nuts,97.48300595238092,91.82388331176222
Ajmer,pulses and nuts,97.34128571428568,91.82388331176222
Dharwad,pulses and nuts,97.29899628252792,91.82388331176222
Surat,pulses and nuts,97.07160919540227,91.82388331176222
Khagaria,pulses and nuts,97.04016129032257,91.82388331176222
Bokaro,pulses and nuts,96.96023529411765,91.82388331176222
Madhubani,pulses and nuts,96.73183673469391,91.82388331176222
Jeypore,pulses and nuts,96.72392857142859,91.82388331176222
Ayodhya,pulses and nuts,96.46277108433735,91.82388331176222
Berhampur,pulses and nuts,96.31241379310342,91.82388331176222
Saharsa,pulses and nuts,96.01234042553193,91.82388331176222
Purnia,pulses and nuts,95.69949494949496,91.82388331176222
Durg,pulses and nuts,95.56787234042557,91.82388331176222
Darbhanga,pulses and nuts,95.50829545454543,91.82388331176222
Simdega,pulses and nuts,95.38056818181818,91.82388331176222
Lohardaga,pulses and nuts,95.18920454545454,91.82388331176222
Balangir,pulses and nuts,95.15514851485143,91.82388331176222
Jamshedpur,pulses and nuts,95.12448275862067,91.82388331176222
Rohtas (sasaram),pulses and nuts,94.57000000000002,91.82388331176222
Baripada,pulses and nuts,94.55941176470591,91.82388331176222
Bilaspur,pulses and nuts,94.1166379310345,91.82388331176222
Udaipur,pulses and nuts,94.05229166666668,91.82388331176222
Gumla,pulses and nuts,93.8214705882353,91.82388331176222
Jhansi,pulses and nuts,93.55972222222219,91.82388331176222
Dindigul,pulses and nuts,93.21242105263154,91.82388331176222
Port Blair,pulses and nuts,92.86704545454545,91.82388331176222
Vijaywada,pulses and nuts,92.56155629139076,91.82388331176222
Sagar,pulses and nuts,92.52831932773114,91.82388331176222
Puducherry,pulses and nuts,92.48076246334311,91.82388331176222
Dehradun,pulses and nuts,92.34953890489909,91.82388331176222
Shahdol,pulses and nuts,91.86707865168539,91.82388331176222
Bathinda,pulses and nuts,91.26677777777775,91.82388331176222
Agartala,pulses and nuts,91.25035714285715,91.82388331176222
Mirzapur (vindhyanchal),pulses and nuts,91.18134146341467,91.82388331176222
